discrete_sal,discrete_ta
32.1185,2155.65
32.1103,2161.39
32.0768,2158.65
32.074,2156.27
32.7057,2207.52
32.703,2205.82
32.6267,2195.28
32.5008,2182.97
32.8519,2216.53
32.8922,2214.12
32.786,2206.12
32.7803,2205.55
32.5467,2197.32
32.5786,2197.36
33.0967,2224.68
33.0934,2224.83
33.2016,2234.04
33.0368,2229.57
33.0026,2227.31
33.0397,2229.42
32.8205,2215.02
35.4711,2333.62
34.1412,2274.62
33.3206,2241.13
33.8037,2248.99
33.353,2240.16
34.7397,2298.44
33.2159,2236.09
35.642,2339.15
35.5914,2337.34
35.318,2333.02
36.1649,2375.76
36.1757,2375.63
36.0526,2356.64
36.1018,2371.51
36.1501,2372.29
35.8666,2357.98
31.9931,2168.38
31.654,2144.02
31.2278,2115.9
30.9548,2096.81
30.6191,2076.51
31.9492,2173.98
31.9,2166.82
31.8783,2169.64
31.4455,2129.85
31.2356,2115.79
31.1114,2102.78
32.5534,2208.03
32.5575,2210.6
32.7239,2210.73
32.2476,2185.48
31.3575,2105.22
31.2763,2105.59
32.838,2208.7
32.8133,2206.28
32.6752,2207.08
32.7141,2203.17
32.4256,2195.8
31.8811,2162.05
31.6527,2131.98
33.0711,2220.03
33.0344,2217.12
32.8835,2212.91
32.7779,2204.57
32.8328,2209.03
32.0283,2177.91
31.9082,2161.61
32.8865,2201.7
32.8665,2204.27
32.8607,2202.87
32.6231,2200.48
32.6916,2199.58
31.6519,2146.27
31.6098,2136.69
33.2052,2228.94
33.0821,2213.56
33.0826,2211.31
33.1401,2223.48
33.1639,2229.17
32.697,2209.15
32.2397,2178.4
34.8753,2310.2
34.0819,2293.6
33.3202,2241.86
33.1691,2235.61
33.3972,2242.65
33.4141,2243.42
32.3957,2187.97
35.4519,2332.7
35.2867,2325.27
34.7973,2311.9
34.1464,2282.64
33.9179,2270.81
34.1753,2273.94
34.5917,2301.03
33.8416,2267.72
32.9781,2223.94
35.6761,2344.21
35.712,2343.13
35.8521,2355.52
36.1342,2375.91
35.5779,2353.12
35.4334,2342.3
35.6083,2337.4
35.9963,2361.31
36.011,2365.83
36.1975,2377.59
35.5756,2344.8
35.4583,2349.62
33.2987,2232.17
33.2449,2231.43
32.7491,2202.17
32.4047,2181.47
33.59,2243.9
33.6024,2243.54
34.0778,2265.17
34.7513,2309.06
32.4702,2208.11
33.8922,2263.34
33.5984,2245.84
34.7648,2301.96
32.906,2235.5
32.8983,2204.37
34.2748,2286.68
34.3015,2283.41
34.2641,2282.06
33.5692,2248.72
34.0164,2272.89
33.4599,2238.4
33.4599,2239.57
35.5924,2339.78
35.6044,2338.98
34.8837,2308.2
34.6413,2295.58
34.508,2300.92
34.8495,2313.43
33.6498,2256.9
33.6424,2247.7
35.7014,2346.81
35.7891,2347.63
35.775,2350.28
35.7382,2358.25
36.1088,2380.24
35.4052,2350.44
34.3143,2296.14
34.3115,2286.86
