deployment,type,project,date,lat,lon,sample,gmt_time,depth_m,temp_c,sal,Sample_notes,AveragepH_25degC,pH_Stdev,AverageTA,TA_Stdev,AverageDIC,DIC_Stdev,UNH_notes
ru30-20210226T1647,deployment,noaa-oap,2/26/21,39 20.948,74 11.640,210226-RU01,16:00,0,4.16,31.97,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,7.8036,0.0003,2187.9,1.414213562,,,
ru30-20210226T1647,deployment,noaa-oap,2/26/21,39 20.948,74 11.640,210226-RU13,16:00,0,4.16,31.97,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,,,,,2024.7,1.64,**The original value was 2018.1
ru30-20210226T1647,deployment,noaa-oap,2/26/21,39 20.948,74 11.640,210226-RU02,16:00,0,4.16,31.97,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,7.8049,0.0016,2191.1,3.252691193,,,
ru30-20210226T1647,deployment,noaa-oap,2/26/21,39 20.948,74 11.640,210226-RU14,16:00,0,4.16,31.97,updated sampling time to 16:00GMT and salinity from original value of 32.29 to 31.97,,,,,2027.4,1.41,
ru30-20210226T1647,recovery,noaa-oap,3/21/21,39 20.000,74 10.000,210321-RU03,14:20,0,4.97,31.72,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,7.8103,0.0003,2176.35,1.060660172,,,
ru30-20210226T1647,recovery,noaa-oap,3/21/21,39 20.000,74 10.000,210321-RU15,14:20,0,4.97,31.72,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,,,,,2018.1,0.55,**The original value was 2024.7
ru30-20210226T1647,recovery,noaa-oap,3/21/21,39 20.000,74 10.000,210321-RU04,14:20,0,4.97,31.72,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,7.8095,0.005,2176.75,0.494974747,,,
ru30-20210226T1647,recovery,noaa-oap,3/21/21,39 20.000,74 10.000,210321-RU16,14:20,0,4.97,31.72,lat/lon and time are placeholders for now. Change salinity from original value of 32.44 to 31.72,,,,,2016.5,0.22,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU05,19:34,0,13.21,31.69,surface,7.8032,0.0026,2161.3,1.6,,,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU17,19:34,0,13.21,31.69,surface,,,,,2140.3,2.1,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU06,19:41,14.4,10.44,32.08,bottom - 49ft bottom depth,7.7368,0.0068,2191.1,2.4,,,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU18,19:41,14.4,10.44,32.08,bottom - 49ft bottom depth,,,,,2040.5,1.6,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU07,19:45,0,13.21,31.69,surface,7.7959,0.0035,2159.3,2.5,,,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU19,19:45,0,13.21,31.69,surface,,,,,1949.8,0.8,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU08,19:50,13.2,10.44,32.08,bottom - 45ft bottom depth,7.7424,0.0068,2180.5,3,,,
ru30-20210503T1929,deployment,noaa-oap,5/3/21,39 26.09,74 14.763,210503-RU20,19:50,13.2,10.44,32.08,bottom - 45ft bottom depth,,,,,2001.2,1.7,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU26,14:10,0.869,15.833,32.061,surface,7.7103,0.0031,2210,1.8,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU40,14:10,0.869,15.833,32.061,surface,,,,,1993.2,1.8,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU25,14:10,2.645,15.611,32.106,,7.7161,0.0075,2208.9,0.5,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU39,14:10,2.645,15.622,32.106,,,,,,2031.1,1.1,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU12,14:10,6.236,13.715,32.34,,7.7136,0.0051,2204.6,5.8,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU38,14:10,6.236,13.715,32.34,,,,,,1982,0.7,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU11,14:10,9.714,12.238,32.458,,7.7559,0.0147,2231.2,8,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU37,14:10,9.714,12.238,32.458,,,,,,2002.5,1.5,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU10,14:10,12.132,11.508,32.541,,7.7538,0.0048,2186.9,1.1,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU23,14:10,12.132,11.508,32.541,,,,,,1966,2.1,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU09,14:10,14.16,11.354,32.588,bottom,7.7401,0.0228,2177.2,1.1,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU21,14:10,14.16,11.354,32.588,bottom,,,,,2093.5,2.4,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU27,14:35,0.901,16.098,32.023,surface. Changed sample time from 14:59 to 14:35 according to website notes,7.7248,0.0638,2179.4,0.7,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU41,14:35,0.901,16.098,32.023,surface. Changed sample time from 14:59 to 14:35 according to website notes,,,,,2053.2,1.9,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU28,14:35,2.544,15.754,32.043,Changed sample time from 14:59 to 14:35 according to website notes,7.7621,0.0007,2173.2,2.3,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU42,14:35,2.544,15.754,32.043,Changed sample time from 14:59 to 14:35 according to website notes,,,,,2128.6,2.5,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU29,14:35,6.124,14.202,32.31,Changed sample time from 14:59 to 14:35 according to website notes,7.736,0.0064,2190.3,0.1,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU43,14:35,6.124,14.202,32.31,Changed sample time from 14:59 to 14:35 according to website notes,,,,,2040.4,2.7,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU30,14:35,9.565,12.013,32.486,Changed sample time from 14:59 to 14:35 according to website notes,7.7116,0.006,2207.3,0.2,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU44,14:35,9.565,12.013,32.486,Changed sample time from 14:59 to 14:35 according to website notes,,,,,1991.1,2.2,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU31,14:35,12.121,11.462,32.561,Changed sample time from 14:59 to 14:35 according to website notes,7.7258,0.0025,2214.2,1.1,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU45,14:35,12.121,11.462,32.561,Changed sample time from 14:59 to 14:35 according to website notes,,,,,1992.9,1.2,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU32,14:35,14.875,11.384,32.586,bottom. Changed sample time from 14:59 to 14:35 according to website notes,7.7185,0.0024,2204.3,4.3,,,
ru30-20210503T1929,recovery,noaa-oap,5/27/21,39 27.043,74 12.580,210527-RU46,14:35,14.875,11.384,21.586,bottom. Changed sample time from 14:59 to 14:35 according to website notes,,,,,1999.6,1.9,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU56,18:55,0.597,24.857,28.954,surface - bottle closed late as rosette being lifted out of water. Still enough water captured for samples,8.0977,0.0041,2013.4,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU52,18:55,0.597,24.857,28.954,surface - bottle closed late as rosette being lifted out of water. Still enough water captured for samples,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU55,18:55,3.381,24.337,29.015,,8.0941,0.0071,1909.4,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU51,18:55,3.381,24.337,29.015,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU36,18:55,5.867,23.591,30.211,,,,,,,,missing?
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU50,18:55,5.867,23.591,30.211,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU35,18:55,7.767,20.313,31.559,,,,,,,,missing?
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU49,18:55,7.767,20.313,31.559,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU34,18:55,9.629,18.149,31.419,,,,,,,,missing?
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU48,18:55,9.629,18.149,31.419,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU33,18:55,11.454,17.939,31.325,near bottom,7.7781,0.0059,2109.85,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.913,74 13.631,210716-RU47,18:55,11.454,17.939,31.325,near bottom,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU62,19:33,0.853,24.658,29.006,surface,8.0958,0.0051,2017.6,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU82,19:33,0.853,24.658,29.006,surface,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU61,19:33,4.118,24.189,29.271,,8.0756,0.0101,2036.45,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU81,19:33,4.118,24.189,29.271,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU60,19:33,6.107,23.028,31.301,,7.9561,0.002,2124.7,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU80,19:33,6.107,23.028,31.301,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU59,19:33,7.708,19.826,31.439,,7.9194,0.0016,2134.433333,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU79,19:33,7.708,19.826,31.439,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU58,19:33,9.41,18.846,31.285,,,,,,,,missing?
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU54,19:33,9.41,18.846,31.285,,,,,,,,
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU57,19:33,11.86,17.937,31.337,near bottom,,,,,,,missing?
ru30-20210716T1804,deployment,noaa-oap,7/16/21,39 25.856,74 13.502,210716-RU53,19:33,11.86,17.937,31.337,near bottom,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU68,16:08,0.213,24.8885,30.8079,surface,7.8998,0.0054,2094.8,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU88,16:08,0.213,24.8885,30.8079,surface,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU67,16:08,4.694,24.8687,30.8879,,7.9104,0.0144,2102.35,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU87,16:08,4.694,24.8687,30.8879,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU66,16:08,8.183,24.6223,31.0296,,7.8957,0.0028,2113.066667,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU86,16:08,8.183,24.6223,31.0296,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU65,16:08,10.702,20.3765,31.5029,,7.8034,0.0071,2129.5,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU85,16:08,10.702,20.3765,31.5029,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU64,16:08,12.676,15.4664,31.9664,,,,,,,,missing?
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU84,16:08,12.676,15.4664,31.9664,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU63,16:08,15.467,15.0873,31.9901,near bottom,7.6662,0.0025,2161.2,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.272,74 12.934,210820-RU83,16:08,15.467,15.0873,31.9901,near bottom,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU74,16:49,0.784,24.8728,30.8197,surface,7.9131,0.0033,2096.9,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU77,16:49,0.784,24.8728,30.8197,surface,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU73,16:49,4.752,24.8708,30.9489,,7.9093,0.0052,2106.6,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU76,16:49,4.752,24.8708,30.9489,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU72,16:49,7.255,24.6233,31.0095,,7.9126,0.0173,2109.6,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU75,16:49,7.255,24.6233,31.0095,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU71,16:49,10.643,21.4919,31.2371,,7.8078,0.0045,2121.75,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU91,16:49,10.643,21.4919,31.2371,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU70,16:49,12.991,15.2018,31.9933,,7.6465,0.0022,2153.5,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU90,16:49,12.991,15.2018,31.9933,,,,,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU69,16:49,15.499,14.85,32.0065,near bottom,7.6547,0.0289,2164.65,,,,
ru30-20210716T1804,recovery,noaa-oap,8/20/21,39 20.123,74 13.197,210820-RU89,16:49,15.499,14.85,32.0065,near bottom,,,,,,,
ru30-20211020T1316,deployment,noaa-oap,10/20/21,39 26.924,74 13.088,211020-RU78,13:30,0,18.9843,31.8075,surface - coordinates and sampling time estimated from glider data,7.8633,0.0007,2178.2,,,,
ru30-20211020T1316,deployment,noaa-oap,10/20/21,39 26.924,74 13.088,211020-RU122,13:30,0,18.9843,31.8075,surface - coordinates and sampling time estimated from glider data,,,,,,,
ru30-20211020T1316,deployment,noaa-oap,10/20/21,39 26.924,74 13.088,211020-RU92,13:30,0,18.9843,31.8075,surface - coordinates and sampling time estimated from glider data,7.8777,0.007,2160.7,,,,
ru30-20211020T1316,deployment,noaa-oap,10/20/21,39 26.924,74 13.088,211020-RU123,13:30,0,18.9843,31.8075,surface - coordinates and sampling time estimated from glider data,,,,,,,
ru30-20211020T1316,recovery,noaa-oap,11/17/21,39 26.31,74 12.85,211117-RU93,15:22,0,13.0511,31.5511,surface,7.7816,0.0085,2162.4,,,,
ru30-20211020T1316,recovery,noaa-oap,11/17/21,39 26.31,74 12.85,211117-RU124,15:22,0,13.0511,31.5511,surface,,,,,,,
ru30-20211020T1316,recovery,noaa-oap,11/17/21,39 26.31,74 12.85,211117-RU94,15:22,0,13.0511,31.5511,surface,7.7984,0.001,2172.3,,,,
ru30-20211020T1316,recovery,noaa-oap,11/17/21,39 26.31,74 12.85,211117-RU125,15:22,0,13.0511,31.5511,surface,,,,,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU95,21:22:32,21.452,7.2629,33.0265,bottom,7.833284107,0.004010347,2214.56026,3.697313581,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU126,21:22:32,21.452,7.2629,33.0265,bottom,,,,,2039.698407,4.459662437,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU96,21:22:32,17.4,7.5716,32.5233,,7.837860222,0.003675485,2219.989515,5.588005027,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU127,21:22:32,17.4,7.5716,32.5233,,,,,,2053.140305,2.715468899,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU97,21:22:32,11.24,8.0728,30.4082,,7.860778251,0.004813661,2145.814806,4.201399555,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU128,21:22:32,11.24,8.0728,30.4082,,,,,,1997.11157,0.269431143,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU98,,0,8.76,29.4504,surface,7.813107456,0.001941776,2125.121916,2.128453424,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,2220420-RU129,,0,8.76,29.4504,surface,,,,,1984.966146,2.252754508,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU99,,0,8.76,29.4504,surface,7.866614102,0.004267625,2130.740746,6.842756156,,,
maracoos_02-20220420T2011,deployment,noaa-oap,4/20/22,40 21.515,73 50.619,220420-RU130,,0,8.76,29.4504,surface,,,,,1954.458732,2.661640846,
maracoos_02-20220420T2011,recovery,noaa-oap,5/18/22,39 19.8798,74 20.5181,220518-RU100,,0,12.762,30.69,surface,7.833140466,0.005044637,2163.752913,2.162693248,,,
maracoos_02-20220420T2011,recovery,noaa-oap,5/18/22,39 19.8798,74 20.5181,220518-RU131,,0,12.762,30.69,surface,,,,,2001.457787,2.514865684,
maracoos_02-20220420T2011,recovery,noaa-oap,5/18/22,39 19.8798,74 20.5181,220518-RU101,,0,12.762,30.69,surface,7.878482576,0.068292228,2157.262813,5.584882306,,,
maracoos_02-20220420T2011,recovery,noaa-oap,5/18/22,39 19.8798,74 20.5181,220518-RU132,,0,12.762,30.69,surface,,,,,2016.390767,0.87178034,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU102,16:04:35,14.533,23.9412,32.1441,near bottom,7.940620538,0.005158779,2169.365907,3.388748181,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU133,16:04:35,14.533,23.9412,32.1441,near bottom,,,,,1970.421986,0.222579681,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU103,16:04:35,12.094,24.293,32.0552,,7.971858281,0.005028887,2166.9697,0.705989204,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU134,16:04:35,12.094,24.293,32.0552,,,,,,1949.136641,1.958850104,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU104,16:04:35,9.287,24.3656,32.0165,,7.975605894,0.008082083,2160.529894,0.917785966,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU135,16:04:35,9.287,24.3656,32.0165,,,,,,1918.160335,2.90240519,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU105,16:04:35,5.878,24.3667,32.0195,,7.980155505,0.008698898,2205.601897,n/a,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU136,16:04:35,5.878,24.3667,32.0195,,,,,,1947.459175,1.498565343,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU106,16:04:35,2.768,24.3657,32.0198,,7.982595972,0.009006823,2193.894419,1.637875796,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU137,16:04:35,2.768,24.3657,32.0198,,,,,,1958.59076,1.081740065,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU107,16:04:35,0.709,24.364,32.0126,surface,7.968894693,0.010293802,2171.556714,1.301715042,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU138,16:04:35,0.709,24.364,32.0126,surface,,,,,1957.31797,2.544794559,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU108,16:27:15,14.966,23.6435,32.2246,near bottom,7.926585569,0.001506687,2175.911101,0.306539721,,,
ru30-20220906T1523,deployment,noaa-oap,9/6/22,,,220906-RU139,16:27:15,14.966,23.6435,32.2246,near bottom,,,,,1962.051361,2.279150421,
