date,discrete_ta,discrete_sal,temperature,depth,ph,source,comments
10/15/19,2150.9,31.8539,18.619,1.042,7.958,ru,
10/15/19,2169.6,31.8539,18.619,1.042,7.958,ru,
10/15/19,2162.2,31.8548,18.5231,3.542,7.959,ru,
10/15/19,2167,31.8548,18.5231,3.542,7.959,ru,
10/15/19,2168.8,31.8462,18.4815,5.219,7.957,ru,
10/15/19,2148.5,31.8462,18.4815,5.219,7.957,ru,
10/15/19,2156.7,31.8602,18.4173,12.325,7.952,ru,
10/15/19,2161.5,31.8602,18.4173,12.325,7.952,ru,
10/15/19,2182.2,32.1888,18.159,24.231,7.944,ru,
10/15/19,2180.3,32.1888,18.159,24.231,7.944,ru,
10/15/19,2234.2,33.2001,16.4265,39.376,7.926,ru,
10/15/19,2244.9,33.2001,16.4265,39.376,7.926,ru,
11/6/19,2127.2,29.2045,14.4601,1.068,8.036,ru,
11/6/19,2134,29.2045,14.4601,1.068,8.036,ru,
11/6/19,2127.9,29.7205,14.5188,4.66,8.04,ru,
11/6/19,2137.2,29.7205,14.5188,4.66,8.04,ru,
11/6/19,2133.6,30.3892,14.7166,9.716,8.037,ru,
11/6/19,2122.1,30.3892,14.7166,9.716,8.037,ru,
11/6/19,2181.8,31.645,15.7266,14.535,8.025,ru,
11/6/19,2171,31.645,15.7266,14.535,8.025,ru,
11/6/19,2255.8,33.485,16.3721,20.022,8.008,ru,
11/6/19,2245.2,33.485,16.3721,20.022,8.008,ru,
11/6/19,2260.6,33.4871,16.3696,22.446,8.005,ru,
11/6/19,2262.5,33.4871,16.3696,22.446,8.005,ru,
