date,discrete_ta,discrete_sal,temperature,depth,ph,source,comments
5/2/18,2149.7,31.663,10.6553,0.5,7.945,ru,
5/2/18,2149.8,31.663,10.6553,0.5,7.945,ru,
5/2/18,2147.6,31.663,10.6553,0.5,7.945,ru,
5/2/18,2154.3,31.408,10.2823,11,7.947,ru,
5/2/18,2154.1,31.408,10.2823,11,7.947,ru,
5/2/18,2155,31.408,10.2823,11,7.947,ru,
5/2/18,2153.8,31.559,8.7782,15,7.973,ru,
5/2/18,2154.1,31.559,8.7782,15,7.973,ru,
5/2/18,2152.7,31.559,8.7782,14,7.972,ru,
5/22/18,2091.7,30.498,14.40602,0.5,8.01,ru,
5/22/18,2091,30.498,14.40602,0.5,8.01,ru,
5/22/18,2108.2,30.487,13.07504444,9,7.988,ru,
5/22/18,2106.9,30.487,13.07504444,9,7.988,ru,
5/22/18,2155,31.577,11.19701053,23,7.987,ru,
5/22/18,2155.1,31.577,11.19701053,23,7.987,ru,
5/13/21,2130.8,31.3,,0,7.8065,sbu,
5/13/21,2142.6,31.33,,10,7.8133,sbu,
5/13/21,2211.4,32.8,,35,7.7098,sbu,
5/13/21,2138.6,31.3,,0,7.8053,sbu,
5/13/21,2133.3,31.33,,10,7.8044,sbu,
5/13/21,2215.4,32.8,,35,7.7052,sbu,
