date,discrete_ta,discrete_sal,temperature,depth,ph,source,comments
7/17/19,2015.5,29.211,24.6018,1.07,7.968,ru,
7/17/19,2024.4,29.3766,23.5322,6.75,7.965,ru,
7/17/19,2090.1,31.2275,13.73,13.62,7.98,ru,
7/17/19,2126.9,31.7514,11.3506,25.41,7.774,ru,
7/17/19,2124.5,31.8189,11.0446,26.58,7.774,ru,
8/12/19,2025.1,30.154,23.8387,1.047,7.993,ru,
8/12/19,2034.9,30.6059,22.5609,6.65,7.96,ru,
8/12/19,2055.7,31.0024,20.7866,9.562,7.911,ru,
8/12/19,2091.5,31.3921,15.5984,13.513,7.905,ru,
8/12/19,2135.3,32.1253,11.2453,21.22,7.84,ru,
8/12/19,2162.4,32.3313,9.3598,27.605,7.836,ru,
7/17/19,2009.35,29.2903,24.78,0.61,7.946,ru,
7/17/19,2028.3,30.4873,19.9022,6.98,7.878,ru,
7/17/19,2056.3,30.7084,16.8304,9.67,7.838,ru,
7/17/19,2109.1,31.6551,14.2762,13.61,7.832,ru,
7/17/19,2120.25,31.7562,12.5728,20.62,7.743,ru,
7/17/19,2125.05,31.7639,11.302,24.83,7.734,ru,
