date,discrete_ta,discrete_sal,temperature,depth,ph,source,comments
2/19/19,2139,31.354,4.691,1,8.141,ru,
2/19/19,2119.9,31.354,4.691,1,8.141,ru,
2/19/19,2132.1,31.354,4.691,1,8.141,ru,
2/19/19,2130.2,31.354,4.691,1,8.141,ru,
2/26/21,2187.9,32.29,4.16,1,7.803575667,ru,
2/26/21,2191.1,32.29,4.16,1,7.804945,ru,
3/21/21,2176.35,32.44,4.97,1,7.810332333,ru,
3/21/21,2176.75,32.44,4.97,1,7.809524333,ru,
2/26/21,2181.3,32.851,,30,7.8492,sbu,
2/26/21,2180.9,32.2,,2,7.8425,sbu,
2/26/21,2189.5,32.851,,30,7.8104,sbu,
2/26/21,2179.6,32.2,,2,7.831,sbu,
3/23/21,2225.3,32.79,,0,7.8515,sbu,bucket
3/23/21,2218.9,32.79,,0,7.8487,sbu,bucket
